Número,Pregunta,1,2,3,4,5
1,Puedo recordar algo mejor si lo escribo.,,,,,
2,"Al leer, oigo las palabras en mi cabeza o las leo en voz alta.",,,,,
3,Necesito hablar las cosas para entenderlas mejor.,,,,,
4,"No me gusta leer o escuchar instrucciones, prefiero simplemente comenzar a hacer las cosas.",,,,,
5,Puedo visualizar imágenes en mi cabeza.,,,,,
6,Puedo estudiar mejor si escucho música.,,,,,
7,Necesito recesos frecuentes cuando estudio.,,,,,
8,"Pienso mejor cuando tengo la libertad de moverme, estar sentado detrás de un escritorio no es para mí.",,,,,
9,Tomo muchas notas de lo que leo y escucho.,,,,,
10,Me ayuda mirar a la persona que está hablando. Me mantiene enfocado.,,,,,
11,Se me hace difícil entender lo que una persona está diciendo si hay ruido alrededor.,,,,,
12,Prefiero que alguien me diga cómo tengo que hacer las cosas que leer las instrucciones.,,,,,
13,Prefiero escuchar una conferencia o una grabación que leer un libro.,,,,,
14,"Cuando no puedo pensar en una palabra específica, uso mis manos y llamo al objeto “esa cosa”.",,,,,
15,"Puedo seguir fácilmente a una persona que está hablando, aunque mi cabeza esté hacia abajo o me encuentre mirando por la ventana.",,,,,
16,Es más fácil para mí hacer un trabajo en un lugar tranquilo.,,,,,
17,"Me resulta fácil entender mapas, tablas y gráficos.",,,,,
18,"Cuando comienzo un artículo o un libro, prefiero espiar la última página.",,,,,
19,Recuerdo mejor lo que la gente dice que su aspecto.,,,,,
20,Recuerdo mejor si estudio en voz alta con alguien.,,,,,
21,"Tomo notas, pero nunca vuelvo a releerlas.",,,,,
22,"Cuando estoy concentrado leyendo o escribiendo, la radio me molesta.",,,,,
23,Me resulta difícil crear imágenes en mi cabeza.,,,,,
24,Me resulta útil decir en voz alta las tareas que tengo que hacer.,,,,,
25,"Mi cuaderno y escritorio pueden verse un desastre, pero sé exactamente dónde está cada cosa.",,,,,
26,"Cuando estoy en un examen, puedo recordar con exactitud la página en el libro y la respuesta.",,,,,
27,No puedo recordar un chiste lo suficiente para contarlo luego.,,,,,
28,"Al aprender algo nuevo, prefiero escuchar la información, luego leer y luego hacerlo.",,,,,
29,Me gusta completar una tarea antes de comenzar otra.,,,,,
30,Uso mis dedos para contar y muevo los labios cuando leo.,,,,,
31,No me gusta releer mi trabajo.,,,,,
32,"Cuando estoy tratando de recordar algo nuevo, por ejemplo, un número de teléfono, me ayuda formarme una imagen mental para lograrlo.",,,,,
33,"Para obtener una nota extra, prefiero grabar un informe a escribirlo.",,,,,
34,Fantaseo en clases.,,,,,
35,"Para obtener una calificación extra, prefiero crear un proyecto a escribir un informe.",,,,,
36,"Cuando tengo una gran idea, debo escribirla inmediatamente, o la olvido con facilidad.",,,,,
