Resultados del Test del Canal de Aprendizaje de preferencia,,,,,,,
,,,,,,,
1,0,,2,0,,4,0
5,0,,3,0,,6,0
9,0,,12,0,,7,0
10,0,,13,0,,8,0
11,0,,15,0,,14,0
16,0,,19,0,,18,0
17,0,,20,0,,21,0
22,0,,23,0,,25,0
26,0,,24,0,,30,0
27,0,,28,0,,31,0
32,0,,29,0,,34,0
36,0,,33,0,,35,0
,,,,,,,
Total visual,0,,Total Auditivo,0,,Total Kinestésico,0
,,,,,,,
,,,,,,,
,,,Porcentaje,,,,
,Total visual,0,#DIV/0!,,,,
,Total Auditivo,0,#DIV/0!,,,,
,Total Kinestésico,0,#DIV/0!,,,,
,Total 3 categorias,0,,,,,
